image,ground_truth,prediction,CER_score
test051_1.jpg,N1718HC,N1718HC,0.0
test052_1.jpg,N6497KS,N6497KS,0.0
test052_2.jpg,N5235ABX,N5235ABX,0.0
test052_3.jpg,N4980KJ,N4980KJ,0.0
test053_1.jpg,N1365AAO,N1365AA0,0.125
test054_1.jpg,N1077AAK,N1077AAK,0.0
test054_2.jpg,N1084AAO,N1084AA0,0.125
test055_1.jpg,N1610KS,N1610KS,0.0
test056_1.jpg,N924CIA,924CIA,0.1429
test056_2.jpg,N1623HB,N1623HB,0.0
test056_3.jpg,L1430HF,L1430HF,0.0
test057_1.jpg,N1342T,N1342T,0.0
test057_2.jpg,N4145AB,4145AB,0.1429
test057_3.jpg,N1396AAH,N1396AAH,0.0
test058_1.jpg,N3153ACB,N3153ACB,0.0
test058_2.jpg,N5829KJ,5829KJ,0.1429
test058_3.jpg,N1780JL,N1780JL,0.0
test059_1.jpg,W8774PA,W8774PA,0.0
test059_2.jpg,B9162FXU,B9162FXU,0.0
test060_1.jpg,L1846JE,L1846JE,0.0
test060_2.jpg,M1457ITA,M1457ITA,0.0
test061_1.jpg,AA1971KJ,AA1971KJ,0.0
test061_2.jpg,BD1146DH,BD1146DH,0.0
test062_1.jpg,B9654PEU,B9654PEU,0.0
test062_2.jpg,AE7244S,AE7244S,0.0
test063_1.jpg,S1208BI,S1208BI,0.0
test064_1.jpg,AE8137G,AE8137G,0.0
test065_1.jpg,H1706SW,H1706SW,0.0
test066_1.jpg,T1220HS,T1220,0.2857
test066_2.jpg,H1790ZY,H1790ZY,0.0
test067_1.jpg,L1855BR,L1855BR,0.0
test067_2.jpg,AB1274EV,AB1274EV,0.0
test068_1.jpg,B2310UZS,B2310UZS,0.0
test068_2.jpg,G1264CM,G1264CM,0.0
test069_1.jpg,AA1138AK,AA1138AK,0.0
test070_1.jpg,B2160TOB,B2160TOB,0.0
test070_2.jpg,B2597BYK,B2597BYK,0.0
test071_1.jpg,G9545AG,G9545AG,0.0
test072_1.jpg,BG1870IB,BG1870IB,0.0
test073_1.jpg,T1187HB,T1187HB,0.0
test073_2.jpg,A1330FP,A1330FP,0.0
test074_1.jpg,G1368GE,G1368GE,0.0
test074_2.jpg,B1081CMR,B1081CMR,0.0
test075_1.jpg,G2474XZ,62474XZ,0.1429
test075_2.jpg,G9173BP,G9173BP,0.0
test075_3.jpg,7066OF,7066DF,0.1667
test076_1.jpg,G2151ASF,G2151ASF,0.0
test076_2.jpg,E500MA,E500MA,0.0
test076_3.jpg,G4689SN,G4689SN,0.0
test077_1.jpg,G1754QZ,G17540Z,0.1429
test078_1.jpg,H1413DH,H1413DH,0.0
test079_1.jpg,T1688GY,T1688GY,0.0
test079_2.jpg,A1260AJ,A126CAJ,0.1429
test080_1.jpg,D77HSB,D77HSB,0.0
test080_2.jpg,B1861TOI,B1861TOI,0.0
test080_3.jpg,D1160ADE,D1160ADE,0.0
test081_1.jpg,F8097BD,8097BD,0.1429
test081_2.jpg,F1992AM,F'1992AN,0.2857
test082_1.jpg,E1824YZ,E1824YZ,0.0
test082_2.jpg,B9093UEX,B9093UEX,0.0
test083_1.jpg,F5052AAE,F5052AAE,0.0
test083_2.jpg,F5452CQ,F5452CO,0.1429
test084_1.jpg,B1158PYP,B1158PYP,0.0
test084_2.jpg,B1242VOY,B1242VOY,0.0
test085_1.jpg,B1315KIF,B1315KIF,0.0
test085_2.jpg,B2938FVJ,B2938FVJ,0.0
test085_3.jpg,B2560SKZ,B2560SKZ,0.0
test086_1.jpg,B1291NOJ,B1291NOJ,0.0
test086_2.jpg,B1556NRC,B1556NRC,0.0
test087_1.jpg,B6823WXR,B6823WXR,0.0
test087_2.jpg,B6317NXK,B6317NXK,0.0
test087_3.jpg,F2215FCQ,F2215FCO,0.125
test087_4.jpg,4039NHR,4039NHR,0.0
test088_1.jpg,B2190TYB,B2190TYB,0.0
test088_2.jpg,B1902VKA,B1902VKA,0.0
test089_1.jpg,D8609N,D8609,0.1667
test089_2.jpg,A8406ZE,A8406ZE,0.0
test089_3.jpg,B1246KRK,B1246KRK,0.0
test090_1.jpg,T9314E,T9314E,0.0
test090_2.jpg,N9579U,N579U,0.1667
test091_1.jpg,B2910KZW,B2910KZW,0.0
test091_2.jpg,B9721KXV,B9721KXV,0.0
test092_1.jpg,B1104AAA,B1104AAA,0.0
test092_2.jpg,T1579FN,T1579FN,0.0
test092_3.jpg,B2346POC,B2346P0C,0.125
test093_1.jpg,B2026BIU,B2026BIU,0.0
test094_1.jpg,G1255EJ,G1255EJ,0.0
test095_1.jpg,B1201KAD,B1201KAD,0.0
test095_2.jpg,B2310JUK,B2310JUK,0.0
test095_3.jpg,B28YHH,B28YHH,0.0
test096_1.jpg,B1354COJ,B1354COJ,0.0
test096_2.jpg,B1502NRO,B1502NRO,0.0
test097_1.jpg,B1650NOG,B1650NOG,0.0
test097_2.jpg,B6354SVL,B6354SVL,0.0
test098_1.jpg,B1779DOB,B1779DOB,0.0
test099_1.jpg,B2017PBQ,B2017PBQ,0.0
test099_2.jpg,B1892WZT,B1892WZT,0.0
test100_1.jpg,B1071PRG,B1071PRG,0.0
test100_2.jpg,B2134PZJ,B2134PZJ,0.0
